"Timestamp","Ikä?","Sukupuoli?","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Osallistuin paikalliskisaan?","Jos Jyväskylässä järjestettäisiin polkujuoksukisa, niin..."
"2021/12/25 3:56:30 PM GMT+2","30-40","nainen","10km lenkin;puolimaratonin;maratonin","12 kertaa viikossa","3100m","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;päästä podiumille","kisaaminen;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Samanaikauset muut tavoitteet. Jos kisa olisi omien triathlonkisojen kauden ulkopuolella (loka-marraskuu?) ja sopivan budjettinen matka löytyisi, niin hyvinkin mahdollista!","En","","Laajis","","","7-10;17-19","","","","","10-12","1 h 30 min;yli 3 h","Tiistaisin vaihtelevat vedot/mäet/intervallit sekä sunnuntaisin pitkä pk.","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Juoksublogit tai tarinat","En","Osallistuisin varmasti;..Riippuen töistä ja kisapäivästä"
"2021/12/25 3:58:18 PM GMT+2","30-40","nainen","puolimaratonin","9 kertaa viikossa","Ei tulosta","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;kisaaminen","Ajanpuute;Kulkuyhteydet","En","","Laajis;Keskusta;Myllyjärvi","pyörällä","17-19;19-21","17-19;19-21","17-19;19-21","7-10","17-19;19-21","10-12","10-12","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","viikkoa aiemmin","Ei ole vaikuttanut","","En","Osallistuisin varmasti"
"2021/12/25 4:07:27 PM GMT+2","40-50","nainen","ultran","viidesti viikossa","","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","","","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Kuokkala;Sippulanniemi","toisen kyydillä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;kivikkoa;juurakkoa;suota","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit","En",""
"2021/12/25 4:08:21 PM GMT+2","40-50","mies","ultran","kuudesti viikossa","3000m","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin ihmisiin ja treenikavereihin","kisaaminen","Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori;Halssila;Kanavuori;Kuokkala;Vaajakoski;Tiikkari","juoksen alkulämpät;omalla autolla","","","","","19-21","","10-12","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;rymypätkiä","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Juoksukaverit","En","Tulisin paikan päälle hengailemaan;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/25 4:17:44 PM GMT+2","40-50","nainen","puolimaratonin","yleensä kahdesti viikossa","2500m","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet","läheiset kansallispuistot","Ajanpuute;Laiskuus;Ruuhkavuodet","En","","Keljonkangas;Myllyjärvi;Muurame","","","","","","17-19","12-15;15-17","12-15;15-17","45 min;1 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä;suota","viikkoa aiemmin","En ole uskaltanut osallistua","Juoksublogit tai tarinat;Riikan ja Petterin 50v backyard :)","Kyllä","Osallistuisin varmasti"
"2021/12/25 4:20:46 PM GMT+2","40-50","nainen","maratonin","seitsemästi viikossa","Ei tulosta","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kuokkala;Vaajakoski","toisen kyydillä;omalla autolla","","17-19","","17-19","","","","1 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat;Kaikki","Kyllä","Osallistuisin varmasti;Tulisin paikan päälle hengailemaan;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/25 4:21:30 PM GMT+2","40-50","mies","1km lenkin;5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","seitsemästi viikossa","Ei tulosta","nauttia luonnosta","polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kuokkala;Sippulanniemi;Keljonkangas;Vaajakoski","juoksen alkulämpät;pyörällä","15-17","17-19","17-19","17-19","17-19","10-12","10-12","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","En ole uskaltanut osallistua","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Kyllä","Osallistuisin varmasti;Tulisin paikan päälle hengailemaan;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/25 4:25:04 PM GMT+2","40-50","nainen","puolimaratonin","viidesti viikossa","","nauttia luonnosta;voittaa itselleni asettamat haasteet","polkujuoksu pohjoisessa suomessa","Ajanpuute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Keskusta;Vaajakoski","omalla autolla","","17-19","","","","","10-12;12-15","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Facebook-läppä","Kyllä","Osallistuisin varmasti;Haluaisin toimitsijaksi/talkoolaiseksi"
"2021/12/25 4:30:07 PM GMT+2","40-50","nainen","10km lenkin","neljästi viikossa","Ei tulosta","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Laiskuus","Joo","minun tasolleni liian nopea","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Mäyrämäki;Muurame;Vaajakoski","omalla autolla","17-19","17-19","","17-19","","","","1 h;1 h 30 min;2 h","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan;vetotreenejä;mäkitreeniä","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa;suota","","Ei ole vaikuttanut","","En",""
"2021/12/25 4:36:22 PM GMT+2","50-60","mies","1km lenkin;5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","viidesti viikossa","2700m","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Ruuhkavuodet","En","","Halssila;Vaajakoski","omalla autolla","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17","10-12;12-15;15-17","1 h 30 min;2 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;intervalleja","paljon verttimetrejä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Juoksukaverit","En","Osallistuisin varmasti"
